id;title;description;count_of_persons;weight;price;discount;image
1;Салат 1;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;10;150;1001;;1.jpg
2;Салат 2;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;10;160;1002;;2.jpg
3;Салат 3;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;10;170;1003;10;3.jpg
4;Канапе 1;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;8;100;410;;4.jpg
5;Канапе 2;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;8;101;411;;5.jpg
6;Канапе 3;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;8;103;412;15;6.jpg
7;Горячее 1;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;12;250;500;;7.jpg
8;Горячее 2;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;12;255;510;;8.jpg
9;Горячее 3;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;12;260;520;20;9.jpg
10;Напиток 1;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;20;200;200;;10.jpg
11;Напиток 2;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;20;210;210;;11.jpg
12;Напиток 3;Рыбатекст используется дизайнерами, проектировщиками и фронтендерами, когда нужно быстро заполнить макеты или прототипы содержимым.;20;220;220;5;12.jpg
